partition_id,stopped_early,stop_epoch,stop_reason,early_stop_tol,min_epochs,final_avg_normalised_loss,final_avg_actual_loss,n_train,n_test
320,False,100,max_epochs,1e-05,20,0.32756024558074803,0.009236213781846254,13968,3504
321,False,100,max_epochs,1e-05,20,0.22992279405440252,0.01441727551104253,13968,3504
322,False,100,max_epochs,1e-05,20,0.1349170772956627,0.022145270320694608,13968,3504
323,False,100,max_epochs,1e-05,20,0.49276953153537595,0.007220318911818962,13968,3504
324,False,100,max_epochs,1e-05,20,0.26391463523452624,0.008841165056191232,13968,3504
325,False,100,max_epochs,1e-05,20,0.3276360884152056,0.02453895807206099,13968,3504
326,False,100,max_epochs,1e-05,20,0.13908886557269523,0.017937062398698703,13968,3504
327,False,100,max_epochs,1e-05,20,0.2564466100334757,0.011317197456316676,13968,3504
328,False,100,max_epochs,1e-05,20,0.34871564437774333,0.025171694316494662,13968,3504
329,False,100,max_epochs,1e-05,20,0.14922383295357214,0.025530222609437683,13968,3504
330,False,100,max_epochs,1e-05,20,0.12121618053913458,0.011855795216492743,13968,3504
331,False,100,max_epochs,1e-05,20,0.3691803674642718,0.030651733671320767,13968,3504
332,False,100,max_epochs,1e-05,20,0.1764527495616557,0.023550700125715238,13968,3504
333,False,100,max_epochs,1e-05,20,0.21442383844354967,0.028102757751143376,13968,3504
334,False,100,max_epochs,1e-05,20,0.3069491157073351,0.03289015938826572,13968,3504
335,False,100,max_epochs,1e-05,20,0.3590335794445612,0.011305717399591225,13968,3504
336,True,24,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.19956763675320485,0.019197686531130187,13968,3504
337,True,97,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.2826079077952319,0.04436773227542361,13968,3504
338,False,100,max_epochs,1e-05,20,0.2221012339310026,0.025768710763976122,13968,3504
339,True,86,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.21241978482485666,0.008439886682413472,13968,3504
340,False,100,max_epochs,1e-05,20,0.19198386671084272,0.035872378052226706,13968,3504
341,False,100,max_epochs,1e-05,20,0.21130249580508337,0.05267781302341847,13968,3504
342,False,100,max_epochs,1e-05,20,0.27753930222283346,0.024425579236441484,13968,3504
343,False,100,max_epochs,1e-05,20,0.16150266259309642,0.00687472617853247,13968,3504
344,False,100,max_epochs,1e-05,20,0.24576360489585616,0.014205510178480048,13968,3504
345,True,52,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.24146312191303657,0.1077373652314693,13968,3504
346,False,100,max_epochs,1e-05,20,0.20840304659195738,0.029557987214092474,13968,3504
347,False,100,max_epochs,1e-05,20,0.16334526551756898,0.014919737304151748,13968,3504
348,False,100,max_epochs,1e-05,20,0.26255988875565606,0.04084325146124104,13968,3504
349,False,100,max_epochs,1e-05,20,0.23311264323975314,0.020834288034805998,13968,3504
350,False,100,max_epochs,1e-05,20,0.28053802214749207,0.041193869143745725,13968,3504
351,False,100,max_epochs,1e-05,20,0.2529666378755267,0.0158158187756042,13968,3504
352,False,100,max_epochs,1e-05,20,0.1724996853161369,0.061375810692988815,13968,3504
353,False,100,max_epochs,1e-05,20,0.28631010790915523,0.006187762909856109,13968,3504
354,False,100,max_epochs,1e-05,20,0.32937652374476595,0.008017601566388683,13968,3504
355,False,100,max_epochs,1e-05,20,0.2123171361549654,0.01776901883814496,13968,3504
356,False,100,max_epochs,1e-05,20,0.30050964932957297,0.008018698466249185,13968,3504
357,False,100,max_epochs,1e-05,20,0.2518936241117022,0.07602122011289675,13968,3504
358,True,52,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.24517239893464446,0.05140762003489579,13968,3504
359,False,100,max_epochs,1e-05,20,0.2744689978400689,0.053831428802507665,13968,3504
360,True,31,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.1817267015308866,0.007912186960131719,13968,3504
361,False,100,max_epochs,1e-05,20,0.22835988608459565,0.011051500858343291,13968,3504
362,False,100,max_epochs,1e-05,20,0.2619490419925856,0.02104799511300536,13968,3504
363,False,100,max_epochs,1e-05,20,0.2072301703512115,0.09164261039234749,13968,3504
364,False,100,max_epochs,1e-05,20,0.18363587068443835,0.021206643948317807,13968,3504
365,False,100,max_epochs,1e-05,20,0.2699728668972811,0.027446706385418233,13968,3504
366,False,100,max_epochs,1e-05,20,0.3167131783170446,0.004422210427621025,13968,3504
367,False,100,max_epochs,1e-05,20,0.3500718788663718,0.004412778364962282,13968,3504
368,False,100,max_epochs,1e-05,20,0.13361740843774528,0.047285754817719336,13968,3504
369,False,100,max_epochs,1e-05,20,0.22532135167825892,0.03143819205937492,13968,3504
370,False,100,max_epochs,1e-05,20,0.18204501016085622,0.04095447843861224,13968,3504
371,False,100,max_epochs,1e-05,20,0.2670118003027192,0.05934577180280106,13968,3504
372,False,100,max_epochs,1e-05,20,0.24574715462021682,0.07331335455325136,13968,3504
373,False,100,max_epochs,1e-05,20,0.25956499001176225,0.018833084194679276,13968,3504
374,True,63,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.3744145441752586,0.01586380731946397,13968,3504
375,False,100,max_epochs,1e-05,20,0.2358848091210272,0.0269444736793286,13968,3504
376,False,100,max_epochs,1e-05,20,0.42192642139939573,0.018467125408642836,13968,3504
377,False,100,max_epochs,1e-05,20,0.17641274338583096,0.023965275834174436,13968,3504
378,False,100,max_epochs,1e-05,20,0.2948403002153049,0.06934346466143414,13968,3504
379,False,100,max_epochs,1e-05,20,0.20712834770547983,0.019301781648309854,13968,3504
380,False,100,max_epochs,1e-05,20,0.31719366122363757,0.016018216677490333,13968,3504
381,False,100,max_epochs,1e-05,20,0.1648060868676008,0.03032355596053966,13968,3504
382,False,100,max_epochs,1e-05,20,0.3910799937730115,0.010672448605708552,13968,3504
383,True,28,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.23116180677111428,0.07665421124050983,13968,3504
384,False,100,max_epochs,1e-05,20,0.1412727557274324,0.014655109106351928,13968,3504
385,False,100,max_epochs,1e-05,20,0.19738455626904924,0.016548914292763568,13968,3504
386,False,100,max_epochs,1e-05,20,0.18199262214432488,0.015513282207752561,13968,3504
387,False,100,max_epochs,1e-05,20,0.2646988475707862,0.026444944169541414,13968,3504
388,False,100,max_epochs,1e-05,20,0.2679956133054503,0.009070144111028152,13968,3504
389,True,41,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.27762097793951135,0.013079399409134353,13968,3504
390,False,100,max_epochs,1e-05,20,0.09985326615129307,0.09661829523856298,13968,3504
391,False,100,max_epochs,1e-05,20,0.23457349058371943,0.021512414423797043,13968,3504
392,False,100,max_epochs,1e-05,20,0.17695849547170117,0.03060135969293559,13968,3504
393,False,100,max_epochs,1e-05,20,0.19819517431785055,0.010965780530660316,13968,3504
394,False,100,max_epochs,1e-05,20,0.23748479190692842,0.006091304805854572,13968,3504
395,False,100,max_epochs,1e-05,20,0.16494031431723033,0.043337675729891854,13968,3504
396,True,77,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.24353271685399247,0.07433148542323577,13968,3504
397,False,100,max_epochs,1e-05,20,0.2624105757032137,0.05317842461799567,13968,3504
398,False,100,max_epochs,1e-05,20,0.1631669610714313,0.00946830668889345,13968,3504
399,False,100,max_epochs,1e-05,20,0.49347687258137546,0.1726880321533195,13968,3504
