unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC/2085,2,middle,0,y,mint_ols,0.16230264901530983,1.0732439084398855,1.00566346376247,centralised
GC/2085,2,middle,0,y,wls_structure,0.1583104325261994,1.0468449429633153,0.997935882035925,centralised
GC/2085,2,middle,0,y,naive,0.1847097602739726,1.2214133672256515,1.1831489107717834,centralised
GC/2086,2,middle,0,y,base,0.3970604464933509,1.0245785068677526,0.9361789980496432,centralised
GC/2086,2,middle,0,y,bu,0.3863067135287589,0.9968294732850264,0.9265788335145878,centralised
GC/2086,2,middle,0,y,mint_shrinkage,0.3821559605461223,0.9861188312886121,0.9049293441498844,centralised
GC/2086,2,middle,0,y,mint_var,0.3860205740801496,0.9960911163633002,0.9158717559450519,centralised
GC/2086,2,middle,0,y,mint_ols,0.3895946777509414,1.0053137670572967,0.917716440891586,centralised
GC/2086,2,middle,0,y,wls_structure,0.38518233676701036,0.99392812092449,0.9124205630455823,centralised
GC/2086,2,middle,0,y,naive,0.4405565068493151,1.1368161496944844,1.0751846592215073,centralised
GC/2087,2,middle,0,y,base,0.29044980461577735,1.1331640089946031,1.0648950056820956,centralised
GC/2087,2,middle,0,y,bu,0.28691986716776624,1.1193922728580274,1.0540281866504118,centralised
GC/2087,2,middle,0,y,mint_shrinkage,0.2838935207393686,1.1075852521717986,1.032466597500439,centralised
GC/2087,2,middle,0,y,mint_var,0.2843352734793867,1.1093087110893403,1.039378637615833,centralised
GC/2087,2,middle,0,y,mint_ols,0.28711141583190986,1.1201395828879503,1.0429055293167728,centralised
GC/2087,2,middle,0,y,wls_structure,0.2839446687760883,1.1077848016754321,1.0352502984036969,centralised
GC/2087,2,middle,0,y,naive,0.3136983447488585,1.2238661149069274,1.211738047839533,centralised
GC/2088,2,middle,0,y,base,0.12067020954590328,1.203126397259688,1.0656797440517802,centralised
GC/2088,2,middle,0,y,bu,0.12067020954590328,1.203126397259688,1.0656797440517802,centralised
GC/2088,2,middle,0,y,mint_shrinkage,0.12144319241930158,1.2108333209744542,1.0636131403244615,centralised
GC/2088,2,middle,0,y,mint_var,0.12074092680146453,1.2038314743224332,1.0651895250098213,centralised
GC/2088,2,middle,0,y,mint_ols,0.12480820499477696,1.244383734717004,1.0745672326024103,centralised
GC/2088,2,middle,0,y,wls_structure,0.12097481809219574,1.2061634565658288,1.064290337609064,centralised
GC/2088,2,middle,0,y,naive,0.11761272831050229,1.172642184152908,1.1287971892323179,centralised
