node_id,unique_id,level,role,method,MAE,MASE,RMSSE
6,GC/2026,2,middle,mint_var,0.2003438914261617,0.9632667205620322,0.9115394674787741
6,GC/2026,2,middle,wls_structure,0.20297206210557786,0.9759031395385077,0.9135987831363412
7,GC/2029,2,middle,base,0.18643096222129513,1.41967575710954,1.2495235561448363
7,GC/2029,2,middle,naive,0.14640896107944384,1.1149073640533864,1.3337816761700438
7,GC/2029,2,middle,bu,0.18643096222129513,1.41967575710954,1.2495235561448363
7,GC/2029,2,middle,mint_cov,0.20617296244375122,1.5700115102415948,1.2666498726545727
7,GC/2029,2,middle,mint_shrinkage,0.20017207443753332,1.5243146199715953,1.2592490518005124
7,GC/2029,2,middle,mint_ols,0.1885758057223658,1.4360087861567727,1.24955161183122
7,GC/2029,2,middle,mint_var,0.18661647419960628,1.421088434784556,1.249382970718426
7,GC/2029,2,middle,wls_structure,0.18857580574049468,1.4360087862948248,1.2495516118289332
8,GC/2031,2,middle,base,0.16274366341942814,1.5488085599981398,1.2212558431344018
8,GC/2031,2,middle,naive,0.17526997735913594,1.6680197283312685,1.4382187203875143
8,GC/2031,2,middle,bu,0.16274366341942814,1.5488085599981398,1.2212558431344018
8,GC/2031,2,middle,mint_cov,0.1641054609980881,1.561768596060358,1.224194316200669
8,GC/2031,2,middle,mint_shrinkage,0.16361284942466273,1.5570804809863534,1.2218679096861647
8,GC/2031,2,middle,mint_ols,0.16679886134539337,1.587401308423833,1.2208285804820291
8,GC/2031,2,middle,mint_var,0.16290266083310564,1.550321716026136,1.221117563834103
8,GC/2031,2,middle,wls_structure,0.16679886135270217,1.5874013084933898,1.2208285804819732
9,GC/2034,2,middle,base,0.09720403181891232,0.80067792934508,0.7766126999331159
9,GC/2034,2,middle,naive,0.09117893867352461,0.7510487214460959,0.8878695202388404
9,GC/2034,2,middle,bu,0.09720403181891232,0.80067792934508,0.7766126999331159
9,GC/2034,2,middle,mint_cov,0.10884676776779209,0.896580141805025,0.7818546484367482
9,GC/2034,2,middle,mint_shrinkage,0.1059252216081541,0.8725151160461871,0.7785145189462209
9,GC/2034,2,middle,mint_ols,0.10259403603975552,0.8450758554182072,0.7770723940484873
9,GC/2034,2,middle,mint_var,0.09749243827929006,0.8030535580426138,0.7764855604655172
9,GC/2034,2,middle,wls_structure,0.10259403599370284,0.8450758550388674,0.7770723940421423
10,GC/2037,2,middle,base,0.37223649224283767,1.1234399011236182,0.9275264193372976
10,GC/2037,2,middle,naive,0.3631815069168084,1.09611122155742,1.0410185796646823
10,GC/2037,2,middle,bu,0.36636247899791935,1.105711653096918,0.9229623303461841
10,GC/2037,2,middle,mint_cov,0.37720040740818855,1.138421399388194,0.919724031937371
10,GC/2037,2,middle,mint_shrinkage,0.37537168032815765,1.132902152853301,0.915825316630641
10,GC/2037,2,middle,mint_ols,0.37032166890205476,1.1176608090961901,0.9209916127906868
10,GC/2037,2,middle,mint_var,0.36879854407670615,1.113063894933158,0.9225597285603142
10,GC/2037,2,middle,wls_structure,0.3703216689083412,1.1176608091151632,0.9209916127891749
11,GC/2039,2,middle,base,0.1792692145567775,1.1973209454783846,0.9570090787565138
11,GC/2039,2,middle,naive,0.1872134712267411,1.2503798319733173,1.0897183263577175
11,GC/2039,2,middle,bu,0.1792692145567775,1.1973209454783846,0.9570090787565138
11,GC/2039,2,middle,mint_cov,0.1830626547857004,1.2226569489452332,0.9632245663400385
11,GC/2039,2,middle,mint_shrinkage,0.18202750104137633,1.215743261824252,0.9594398748906106
11,GC/2039,2,middle,mint_ols,0.18331072179694996,1.224313763413828,0.9625579004328869
11,GC/2039,2,middle,mint_var,0.17949815084434867,1.1988499877791876,0.9572061296358368
11,GC/2039,2,middle,wls_structure,0.18331072180153457,1.224313763444448,0.9625579004354247
12,GC/2041,2,middle,base,0.20822994504948525,1.2249449686896856,1.135603989911581
12,GC/2041,2,middle,naive,0.22099514821049185,1.3000382574222966,1.261490923857039
12,GC/2041,2,middle,bu,0.20679061343824934,1.216477877104753,1.1343824269108655
12,GC/2041,2,middle,mint_cov,0.20673328832833893,1.2161406532489447,1.1070139739342577
12,GC/2041,2,middle,mint_shrinkage,0.20593032117442053,1.2114170743468726,1.1078131464347987
12,GC/2041,2,middle,mint_ols,0.20760008704292646,1.2212397312132037,1.12889642695291
12,GC/2041,2,middle,mint_var,0.2070809664210569,1.2181859235884116,1.1323759309158083
12,GC/2041,2,middle,wls_structure,0.2076000870432244,1.2212397312149565,1.1288964269515411
13,GC/2044,2,middle,base,0.23760234402163433,1.0485020867845238,0.95330374902105
13,GC/2044,2,middle,naive,0.24977397272226454,1.1022135859059936,1.070306039098632
13,GC/2044,2,middle,bu,0.23629946846144756,1.0427527001389443,0.9580946207387014
13,GC/2044,2,middle,mint_cov,0.23817417157867685,1.0510254726093091,0.9493524773429352
13,GC/2044,2,middle,mint_shrinkage,0.23787668077680876,1.0497126920984845,0.9460759861928886
13,GC/2044,2,middle,mint_ols,0.23766699889447152,1.0487873986545295,0.9486384161389873
13,GC/2044,2,middle,mint_var,0.23614600197182994,1.0420754764554905,0.9519754550725227
13,GC/2044,2,middle,wls_structure,0.2376669988902797,1.0487873986360319,0.9486384161429203
14,GC/2046,2,middle,base,0.12686887402570768,0.9808279812956869,0.8814192992184754
14,GC/2046,2,middle,naive,0.1286823631562618,0.9948481331783516,0.9747760630850397
14,GC/2046,2,middle,bu,0.12686887402570768,0.9808279812956869,0.8814192992184754
14,GC/2046,2,middle,mint_cov,0.1309880699852507,1.0126736383852364,0.8821759007720723
14,GC/2046,2,middle,mint_shrinkage,0.13040309781669207,1.0081511968044492,0.8792551601702898
14,GC/2046,2,middle,mint_ols,0.13024363512836445,1.0069183848331482,0.8824301697830761
14,GC/2046,2,middle,mint_var,0.12698867766049768,0.9817541876498094,0.8813011863310083
